sending_region,receiving_region,bitrate_bps,avgrtt
gcp--us-central1,aws--eu-west-1,300000000,103.435
gcp--us-central1,aws--ap-northeast-1,300000000,133.996
gcp--us-central1,aws--sa-east-1,300000000,145.483
gcp--us-central1,gcp--eu-north1,300000000,126.423
gcp--us-central1,gcp--ca-central1,300000000,29.748
aws--sa-east-1,gcp--us-central1,300000000,145.703
aws--sa-east-1,aws--eu-west-1,300000000,176.894
aws--sa-east-1,aws--ap-northeast-1,300000000,255.289
aws--sa-east-1,gcp--eu-north1,300000000,216.578
aws--sa-east-1,gcp--ca-central-1,300000000,124.307
aws--eu-west-1,gcp--us-central1,300000000,104.169
aws--eu-west-1,aws--sa-east-1,300000000,176.813
aws--eu-west-1,aws--ap-northeast-1,300000000,198.555
aws--eu-west-1,gcp--eu-north1,300000000,48.249
aws--eu-west-1,gcp--ca-central-1,300000000,68.622
aws--ap-northeast-1,gcp--us-central1,300000000,128.999
aws--ap-northeast-1,aws--eu-west-1,300000000,198.539
aws--ap-northeast-1,aws--sa-east-1,300000000,255.323
aws--ap-northeast-1,gcp--eu-north1,300000000,250.730
aws--ap-northeast-1,gcp--ca-central-1,300000000,142.549
gcp--eu-north1,gcp--us-central1,300000000,126.423
gcp--eu-north1,aws--sa-east-1,300000000,216.578
gcp--eu-north1,aws--eu-west-1,300000000,48.249
gcp--eu-north1,aws--ap-northeast-1,300000000,250.730
gcp--eu-north1,gcp--ca-central-1,300000000,116.782
gcp--ca-central-1,gcp--us-central1,300000000,29.748
gcp--ca-central-1,aws--sa-east-1,300000000,124.307
gcp--ca-central-1,aws--eu-west-1,300000000,68.622
gcp--ca-central-1,aws--ap-northeast-1,300000000,142.549
gcp--ca-central-1,gcp--eu-north1,300000000,116.782
